GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
multiple-databases-test,com.tests.exceptions,ResourceNotFoundException,9,0,0,0,4,0,2,0,2,0
multiple-databases-test,com.tests.exceptions,DatabaseAccessException,5,0,0,0,2,0,1,0,1,0
multiple-databases-test,com.tests.exceptions,LanguageServiceException,9,0,0,0,4,0,2,0,2,0
multiple-databases-test,com.tests.services,FilmRepository,3,0,0,0,1,0,1,0,1,0
multiple-databases-test,com.tests.services,LanguageService,56,0,4,0,12,0,6,0,4,0
multiple-databases-test,com.tests.services,CategoryService,8,0,0,0,2,0,2,0,2,0
multiple-databases-test,com.tests.services,ActorService,8,0,0,0,2,0,2,0,2,0
multiple-databases-test,com.tests.exceptions.models,TraceIdProvider,3,10,0,0,1,2,1,1,1,1
multiple-databases-test,com.tests.exceptions.models,ApiErrorResponse,23,0,0,0,8,0,1,0,1,0
multiple-databases-test,com.tests.resources,ActorResource,23,0,0,0,6,0,2,0,2,0
multiple-databases-test,com.tests.resources,CategoryResource,20,0,0,0,4,0,2,0,2,0
multiple-databases-test,com.tests.resources,LanguageResource,25,0,0,0,5,0,3,0,3,0
multiple-databases-test,com.tests.resources,FilmResource,3,0,0,0,1,0,1,0,1,0
multiple-databases-test,com.tests.utils,LanguageMapperImp,25,0,0,0,6,0,2,0,2,0
multiple-databases-test,com.tests.exceptions.mappers,LanguageServiceExceptionMapper,22,3,0,0,8,1,1,1,1,1
multiple-databases-test,com.tests.exceptions.mappers,SQLExceptionMapper,26,3,0,0,7,1,1,1,1,1
multiple-databases-test,com.tests.exceptions.mappers,ResourceNotFoundExceptionMapper,26,3,0,0,6,1,1,1,1,1
multiple-databases-test,com.tests.exceptions.mappers,GlobalExceptionMapper,22,3,0,0,8,1,1,1,1,1
multiple-databases-test,com.tests.dtos,LanguageDTO,9,0,0,0,1,0,1,0,1,0
multiple-databases-test,com.tests.cache,RedisCache.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
multiple-databases-test,com.tests.cache,RedisCache,204,0,8,0,50,0,19,0,15,0
multiple-databases-test,com.tests.config,CustomLogger,17,7,0,0,8,2,4,2,4,2
multiple-databases-test,com.tests.enums,FilmCategory,3,123,0,0,1,20,1,2,1,2
multiple-databases-test,com.tests.repositories,CategoryRepository,3,0,0,0,1,0,1,0,1,0
multiple-databases-test,com.tests.repositories,LanguageRepository,43,0,2,0,13,0,3,0,2,0
multiple-databases-test,com.tests.repositories,ActorRepository,0,3,0,0,0,1,0,1,0,1
multiple-databases-test,com.tests.repositories,FilmRepository,3,0,0,0,1,0,1,0,1,0
multiple-databases-test,com.tests.responses,ApiResponse,20,0,2,0,7,0,3,0,2,0
